7454,71057007,snomed
7454,68566005,snomed
7454,A49.0,icd10
7454,B95.8,icd10
7454,Z22.39,icd10
7454,B95.7,icd10
7454,A28.8,icd10
7454,Z20.818,icd10
7454,B96.89,icd10
7454,Z20.81,icd10
7454,A28,icd10
7454,B96.8,icd10
7454,A48.8,icd10
7454,A49.9,icd10
7454,A48,icd10
7454,A49,icd10
7454,A28.9,icd10
7454,A49.8,icd10
7454,B96.20,icd10
7454,Z20.01,icd10
7454,B96.2,icd10
7454,B96.29,icd10
7454,N39.0,icd10
7454,Z87.440,icd10
8591,43339004,snomed
8591,43339004,snomed
8591,43339004,snomed
8591,E87.6,icd10
8591,E87.6,icd10
8591,E87.6,icd10
77655,109989006,snomed
77655,126537000,snomed
77655,66931009,snomed
77655,71447003,snomed
77655,C90.00,icd10
77655,C90.02,icd10
77655,C90.0,icd10
77655,C90,icd10
77655,E83.52,icd10
10438,87433001,snomed
10438,32398004,snomed
10438,1023001,snomed
10438,4386001,snomed
10438,48867003,snomed
10438,195967001,snomed
10438,J43.9,icd10
10438,J43,icd10
10438,J43.8,icd10
10438,J40,icd10
10438,R06.81,icd10
10438,R00.1,icd10
10438,J45.9,icd10
10438,J45,icd10
10438,J45.90,icd10
10438,J45.99,icd10
10438,J45.998,icd10
105694,267531008,snomed
41127,302870006,snomed
41127,13644009,snomed
41127,53741008,snomed
41127,3744001,snomed
41127,I25.84,icd10
41127,I25.83,icd10
41127,Z83.430,icd10
3640,75116005,snomed
3640,420079008,snomed
3640,58750007,snomed
3640,86500004,snomed
3640,186462007,snomed
3640,409498004,snomed
3640,186772009,snomed
3640,53084003,snomed
3640,28867007,snomed
3640,2576002,snomed
3640,76272004,snomed
3640,63650001,snomed
3640,60046008,snomed
3640,A70,icd10
3640,A68.9,icd10
3640,A68,icd10
3640,A20,icd10
3640,A20.9,icd10
3640,A20.8,icd10
3640,A22,icd10
3640,A22.8,icd10
3640,A22.9,icd10
3640,A77.0,icd10
3640,J15.9,icd10
3640,J15.8,icd10
3640,J15,icd10
3640,A58,icd10
3640,A71.9,icd10
3640,A71,icd10
3640,A52.78,icd10
3640,A52.75,icd10
3640,A53.9,icd10
3640,A52.74,icd10
3640,A51.9,icd10
3640,A53,icd10
3640,A00.9,icd10
3640,A00,icd10
3640,J91,icd10
3640,J90,icd10
3640,J91.8,icd10
73056,71447003,snomed
73056,32369003,snomed
39786,7461003,snomed
39786,51771007,snomed
